id,title,language,topics,difficulty,prerequisites,file_name
video001,Python Loops Introduction,Python,"loops,iteration,for,while",beginner,"variables,basic syntax",python_loops_intro.mp4
video002,Python List Comprehensions,Python,"lists,comprehensions,iteration",intermediate,"loops,variables,lists",python_list_comprehensions.mp4
video003,Python Functions Basics,Python,"functions,return,parameters",beginner,"variables,data types",python_functions.mp4
video004,Python Object Oriented Programming,Python,"classes,objects,inheritance,oop",intermediate,"functions,variables",python_oop.mp4
video005,Python Decorators,Python,"decorators,functions,advanced",advanced,"functions,oop",python_decorators.mp4
video006,JavaScript Variables,JavaScript,"variables,let,const,var",beginner,,js_variables.mp4
video007,JavaScript DOM Manipulation,JavaScript,"dom,selectors,events",intermediate,"variables,functions,html",js_dom.mp4
video008,JavaScript Arrow Functions,JavaScript,"functions,arrow functions,lambda",intermediate,"functions,variables",js_arrow_functions.mp4
video009,JavaScript Promises,JavaScript,"promises,async,callbacks",advanced,"functions,callbacks",js_promises.mp4
video010,HTML Basic Structure,HTML,"structure,tags,elements",beginner,,html_basics.mp4
video011,HTML Forms,HTML,"forms,input,validation",intermediate,basic html,html_forms.mp4
video012,HTML Semantic Elements,HTML,"semantic,accessibility,structure",intermediate,basic html,html_semantic.mp4
video013,CSS Selectors,CSS,"selectors,specificity",beginner,html basics,css_selectors.mp4
video014,CSS Flexbox Layout,CSS,"flexbox,layout,responsive",intermediate,"css basics,selectors",css_flexbox.mp4
video015,CSS Grid Layout,CSS,"grid,layout,responsive",intermediate,"css basics,selectors",css_grid.mp4
video016,Python Flask Introduction,Python,"flask,web,framework",intermediate,"python basics,functions",python_flask_intro.mp4
video017,JavaScript React Basics,JavaScript,"react,components,jsx",advanced,"javascript,dom,functions",js_react_basics.mp4
video018,HTML5 Canvas API,HTML,"canvas,drawing,animation",advanced,"html,javascript",html_canvas.mp4
video019,Python API Requests,Python,"api,requests,json",intermediate,"functions,dictionaries",python_api_requests.mp4
video020,JavaScript Fetch API,JavaScript,"fetch,api,promises",intermediate,"promises,functions",js_fetch_api.mp4
video021,Python API Request,Python,"API,",advanced,"variable,function,",FastAPI.mp4
video022,Python for loop,Python,"loop,nested for loop",intermediate,"variable,list,tuple ",for loop.mp4
video023,graphics using python turtle,Python,"python turtle,graphics",intermediate,"variable ,functions",python_turtle.mp4
video024,if__name__python,Python,main function,beginner,,if __name__main for python .mp4
video025,Lambda Function,Python,lambda function,intermediate,"variable ,functions",lambda function.mp4
video026,module package,Python,module,intermediate,"variable, function, loop",module package library.mp4
video027,python datatypes,Python,datatypes,beginner,,python datatypes.mp4
video028,file Handling,Python,files,intermediate,"variable, function, loop",python_files.mp4
video029,recursion function in python,Python,recursion,advanced,"variable, function, loop",recursion.mp4
video030,C programming Exercise,C,"multiplication,operators,input/output",beginner,"variables,arithmetic",c_multiplication_exercise.mp4
video031,Addition of Two Number Program in C,C,"addition,input/output,operators",beginner,"variables,basic syntax",c_addition_two_numbers.mp4
video032,C language tutorial - C pattern programming,C,"patterns,nested loops",intermediate,"loops,printing",c_pattern_tutorial.mp4
video033,C language first program - Hello World,C,"hello world,basics,output",beginner,"syntax,compilation",c_hello_world.mp4
video034,Check if the Given Number is Odd or Even in C,C,"conditionals,modulus,logic",beginner,"variables,if-else",c_odd_even_check.mp4
video035,Printing Star Pattern using C Programming,C,"patterns,nested loops",intermediate,"loops,printing",c_star_pattern_printing.mp4
video036,Satisfying ASCII Animation with C,C,"ascii,animation,graphics",intermediate,"loops,output",c_ascii_animation.mp4
video037,The do-while Loop in C,C,"do-while,loops,iteration",beginner,"loops,syntax",c_do_while_loop.mp4
video038,Try this with C language - Pattern Example,C,"patterns,loops",intermediate,"loops,printing",c_pattern_example.mp4
video039,While Loop in C - Print Natural Numbers,C,"while loop,iteration,numbers",beginner,"variables,loops",c_while_loop_natural_numbers.mp4
video040,HTML Tables Deep Dive,HTML,"tables,rows,columns",intermediate,basic html,html_tables.mp4
video041,HTML Lists Explained,HTML,"lists,ordered,unordered",beginner,,html_lists.mp4
video042,HTML Images and Media,HTML,"images,video,audio,media",intermediate,basic html,html_images_media.mp4
video043,HTML Links and Navigation,HTML,"anchors,hyperlinks,navigation",beginner,,html_links_navigation.mp4
video044,HTML iframes Usage,HTML,"iframes,embedding,web content",intermediate,basic html,html_iframes.mp4
video045,HTML Meta Tags,HTML,"meta,seo,head",intermediate,basic html,html_meta_tags.mp4
video046,Quick Tip: HTML Button Tag,HTML,"buttons,click,submit",beginner,basic html,html_button_tag_short.mp4
video047,HTML Entities in 60 Seconds,HTML,"entities,special characters",beginner,basic html,html_entities_short.mp4
video048,What is the HTML `<fieldset>` Tag?,HTML,"forms,fieldset,grouping",intermediate,html forms,html_fieldset_short.mp4
video049,HTML Inline vs Block Elements,HTML,"inline,block,layout",intermediate,basic html,html_inline_block_short.mp4
video050,Using the `<abbr>` Tag in HTML,HTML,"abbreviation,tooltip,semantic",beginner,basic html,html_abbr_tag_short.mp4
video051,HTML `<progress>` Tag in 60 Seconds,HTML,"progress,loading,bar",intermediate,basic html,html_progress_tag_short.mp4
video052,HTML Quotation & Citation Elements,HTML,"cite,blockquote,q",beginner,basic html,html_quotation_citation_short.mp4
video053,Pointers in C,C,"pointers,address,memory",advanced,"variables,functions",c_pointers.mp4
video054,Dynamic Memory Allocation in C,C,"malloc,calloc,memory",advanced,"pointers,arrays",c_dynamic_memory.mp4
video055,Understanding C Header Files,C,"header,modular code",intermediate,"functions,preprocessor",c_header_files.mp4
video056,2D Arrays in C,C,"arrays,nested loops",intermediate,"arrays,loops",c_2d_arrays.mp4
